common_name,lat,lng
Pacific poison oak,37.0223046676,-122.0845960494
Pacific poison oak,37.0220916667,-122.0856471667
Slender Banana Slug,37.0858028333,-121.952095
Pacific poison oak,37.0236778333,-122.0866083333
coast redwood,37.0239945,-122.0867528333
coast redwood,37.0236888333,-122.085625
coast redwood,37.0224305,-122.0862416667
Western Fence Lizard,37.0220805,-122.0835333333
Pacific poison oak,37.0152333333,-122.0755
Western Fence Lizard,37.0225555,-122.0843416667
coast live oak,37.0234195,-122.0844805
coast redwood,37.0238416667,-122.0808416667
Pacific poison oak,37.0221945,-122.0857305
California yerba santa,37.0187385784,-122.073739059
Slender Banana Slug,37.0514793396,-122.0875473022
California yerba santa,37.0845967492,-122.0625427836
Western Fence Lizard,37.0129973227,-122.0723882318
Western Fence Lizard,37.013019811,-122.072351016
coast redwood,37.0400602691,-122.0651913973
Western Fence Lizard,37.0223382202,-122.0840156078
Slender Banana Slug,37.0013769261,-121.9997506806
California poppy,37.0468555,-122.048425
California yerba santa,36.9986114502,-122.0630569458
Slender Banana Slug,37.0624555461,-122.0866755211
California yerba santa,37.0865037028,-122.0574445138
Slender Banana Slug,37.019443512,-121.9141693115
California poppy,37.0147209167,-121.9744415283
California poppy,37.0772943645,-122.0317608815
coast redwood,37.0398560398,-122.0662901714
coast redwood,37.0397587151,-122.0660018921
coast redwood,37.0781842663,-121.9476802683
coast live oak,37.0088882446,-121.9702758789
California yerba santa,37.0852982089,-121.9521313754
Pacific poison oak,37.0769301205,-121.9470492334
Slender Banana Slug,37.0767055,-122.0316083333
coast redwood,37.079825,-122.0313721667
California yerba santa,37.0347028333,-122.0499278333
Western Fence Lizard,37.0869233333,-122.06562
California yerba santa,37.0869016667,-122.0672066667
California poppy,37.0875566667,-122.0668933333
coast redwood,37.059547,-121.934483
California poppy,37.0818416667,-122.0597611667
California poppy,37.0815972222,-122.059625
Slender Banana Slug,37.0886945,-122.0664278333
Slender Banana Slug,37.0527602592,-122.0859145983
Pacific poison oak,37.0538863849,-122.0858850703
California poppy,37.05128789,-122.13657618
California yerba santa,37.1024138333,-122.1499778333
California yerba santa,37.1019778333,-122.1496971667
California yerba santa,37.0512372345,-122.1369505778
California poppy,37.0513394338,-122.1368768735
California yerba santa,37.1019797819,-122.1496554652
coast redwood,37.0393055702,-122.0632771185
California poppy,37.0843571,-122.0614699
coast redwood,37.0356528333,-122.0596778333
Slender Banana Slug,37.0375375946,-122.0609020475
coast redwood,37.0364278333,-122.0605305
Slender Banana Slug,37.0337766667,-122.0588316667
Slender Banana Slug,37.0174638333,-121.932305
Western Fence Lizard,37.0623259735,-122.0847358153
Slender Banana Slug,37.023092658,-122.0518203486
Western Fence Lizard,37.0617528333,-122.1235888333
Slender Banana Slug,36.9988899231,-122.0625
Slender Banana Slug,37.0397805,-122.0637138333
coast live oak,37.0295984056,-122.0447128542
California poppy,37.0517195,-122.071525
Pacific poison oak,37.0820305,-122.0595388333
coast redwood,37.0175583333,-122.0622721667
coast redwood,37.04,-122.0622222222
coast redwood,37.0361055,-122.0598361667
coast redwood,37.0432950473,-122.0738865809
coast redwood,37.0382383333,-122.063705
coast live oak,37.0815471667,-122.0590138333
Pacific poison oak,37.0553333333,-122.1442555
Pacific poison oak,37.0352221667,-122.0513166667
coast redwood,37.0144777833,-121.998375
coast live oak,37.040565,-122.0639366667
coast redwood,37.0392516667,-122.064455
coast live oak,37.0523333968,-122.1370643371
coast redwood,37.0256524686,-121.896710893
California Newt,37.045375,-122.1271138889
coast redwood,37.0367569663,-122.0607426671
coast redwood,37.0169032979,-121.9061194809
coast live oak,37.0341833333,-122.0513166667
coast live oak,37.034225,-122.0514
coast live oak,37.034225,-122.0514916667
coast redwood,37.0865694444,-122.125725
coast redwood,37.0950916667,-122.1366583333
coast redwood,37.0387166667,-122.0617971667
California yerba santa,37.0990972222,-122.1392055556
coast redwood,37.0312815609,-122.0416691784
Slender Banana Slug,37.0354278333,-122.0601971667
coast redwood,37.036945343,-122.0650024414
Slender Banana Slug,37.043056488,-122.0625
coast redwood,37.0394439697,-122.0630569458
Slender Banana Slug,37.0388046652,-122.0611190983
coast redwood,37.038016503,-122.0630085468
Slender Banana Slug,36.9991419397,-122.063103429
Western Fence Lizard,37.0151138833,-122.0838916667
Slender Banana Slug,37.003475,-121.90293
Slender Banana Slug,37.00356945,-121.9030383333
coast redwood,36.9996908589,-121.9062870741
Pacific poison oak,37.0024611111,-121.9050055556
Slender Banana Slug,37.0563305,-122.1442416667
Slender Banana Slug,37.0619812012,-122.0862350464
coast redwood,37.04382613,-122.07397235
coast redwood,37.04385051,-122.07396879
coast redwood,37.04371799,-122.07457722
coast redwood,37.04363318,-122.07466502
coast redwood,37.04361367,-122.07467163
coast redwood,37.04359249,-122.07468767
coast redwood,37.04357825,-122.07469945
coast redwood,37.042999,-122.07474918
coast redwood,37.04283574,-122.07491292
coast redwood,37.04286062,-122.07494877
coast redwood,37.04282728,-122.0750173
coast redwood,37.04290331,-122.07511721
Western Fence Lizard,36.9998696543,-121.8729901314
California Newt,37.080975,-121.8864283333
coast redwood,37.0270195007,-121.9036636353
coast redwood,37.07866138,-122.1314457
Slender Banana Slug,37.025137092,-121.9276065287
Slender Banana Slug,37.0594672331,-122.0953214533
California poppy,37.0709695,-122.0646445
California Newt,37.0861659668,-122.0607018471
Slender Banana Slug,37.0370861667,-122.0646583333
Slender Banana Slug,36.9992992469,-122.0591476747
California yerba santa,37.0661653333,-122.0531272888
California yerba santa,37.0868418166,-122.0625940565
California yerba santa,37.0874751539,-122.0655981306
California yerba santa,37.0867754872,-122.0660448074
Slender Banana Slug,37.0033111167,-122.0595083333
coast redwood,37.0377583333,-122.0630028333
Slender Banana Slug,37.0145471243,-122.0481705666
Slender Banana Slug,37.0543814722,-122.0910908056
Slender Banana Slug,37.0398445,-122.0637445
California poppy,37.0702945,-122.0636583333
California Newt,37.0761083333,-122.0632555
California Newt,37.0847165735,-122.0626715296
California Newt,37.097167,-121.902383
California Newt,37.0850878432,-122.0620484851
California Newt,37.0915161912,-121.9369609841
California yerba santa,37.0489305,-121.9060583333
Western Fence Lizard,36.9980783333,-122.057275
Slender Banana Slug,37.0350528333,-122.0601361667
Western Fence Lizard,37.0360416667,-122.0616916667
coast redwood,37.0305107172,-122.045681759
Western Fence Lizard,36.9992216667,-122.0578083333
Pacific poison oak,37.0017989397,-122.0634440705
